LeftFootData
0=-1
0,2110749=-1
4,832361=-6,846725
4,84516=8,469395
4,856539=-7,986413
4,869832=-2,277929
4,88396=4,675523
4,897658=-8,037557
4,91487=1,107662
4,929251=-4,464362
4,942531=1,715412
4,959247=-2,782987
4,970154=0,04226329
4,984804=0,1466184
4,998451=-0,4422044
5,0178=-0,2163767
5,030928=-0,2614794
5,045994=0,319925
5,057959=-0,03033635
5,071746=0,1219477
5,087205=0,2315781
5,097266=0,001491877
5,115993=-0,3514187
5,130014=0,1239159
5,141867=0,7023873
5,157266=-0,6300588
5,172775=-0,5105718
5,185512=0,8908075
5,201617=-0,5609913
5,218474=0,174864
5,229722=-0,3629027
5,244904=1,531925
5,257363=-0,2366264
5,274576=0,07659861
5,284733=-1,127244
5,305344=-0,3493254
5,322991=0,2231478
5,333158=-0,3131785
5,344926=1,336146
5,35674=0,3555004
5,370313=0,1207279
5,384217=2,261056
5,397423=-0,8349302
5,417729=0,7282813
5,43366=2,183907
5,446105=-6,477219
5,469189=0
5,482693=0
5,497348=0
5,512042=0
5,524508=0
5,534777=0
5,546288=0
5,564007=0
5,579225=115,0107
5,609045=-71,27917
5,625096=-2,148803
5,638942=-11,58051
5,654157=-2,691302
5,667501=-1,921807
5,681214=0
5,698233=0
5,738952=0
5,754632=0
5,767759=0
5,783561=0
5,80057=0
5,813753=0
5,826131=0
5,841462=0
5,860534=0
5,878528=0
5,901627=0
5,921398=0
5,931846=0
5,943521=0
5,956815=0
5,973279=0
5,985672=0
6,002911=0
6,019574=0
6,034102=0
6,050535=0
6,067325=0
6,080312=0
6,094719=0
6,110765=0
6,122692=0
6,136281=0
6,151841=0
6,164232=0
6,177181=0
6,191592=0
6,202782=0
6,221961=0
6,237448=0
6,256313=0
6,266494=0
6,280851=0
6,295324=0
6,307505=0
6,31979=0
6,333608=0
6,347382=0
6,360405=0
6,372825=0
6,387403=0
6,404701=0
6,414984=0
6,42742=0
6,440106=0
6,454986=0
6,474598=0
6,493414=0
6,506771=0
6,520942=0
6,535676=0
6,547994=0
6,562945=0
6,577564=0
6,638443=0
6,652964=0
6,666421=0
6,688622=0
6,703356=0
6,720312=0
6,736617=0
6,76055=0
6,774256=0
